paper_id,title,authors,year,journal,doi,pubmed_url,url,problem,dataset,dataset_source,n_patients,n_events,structured_data,unstructured_data,pathology,labs,medications,treatment,longitudinal_data,target,prediction_horizon,prediction_time,model,baselines,validation,external_validation,metrics,main_result,limitations,leakage_risk,research_gap,relevance_score,novelty_score,data_feasibility,notes
P0022,Large Language Model Applications for Health Information Extraction in Oncology: Scoping Review,(authors not fully confirmed),2025,JMIR Cancer,10.2196/65984,https://pubmed.ncbi.nlm.nih.gov/40153782/,https://cancer.jmir.org/2025/1/e65984,"Scoping review of LLM applications for health information extraction across oncology (breast cancer 2nd most common cancer type studied, 17%)",N/A (review of 24 studies through June 2024),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A (review; 75% BERT-family, 25% ChatGPT/GPT-4 among included studies)",N/A,N/A,N/A,N/A (qualitative synthesis),"Rising prompt-engineering use (28% in 2022-2024 vs 0% in 2019-2021), declining reliance on fine-tuning (44% vs 100%); broadly positive extraction performance but insufficient evaluation beyond training data before real-world integration",Field-wide: insufficient external/real-world evaluation before deployment,N/A (review),Explicit call-out: LLM extraction tools in oncology are insufficiently evaluated beyond their training data,4,3,5,Best available map of the LLM-extraction-in-oncology field as of mid-2024; directly relevant to any LLM-based information extraction component of this research program.
P0023,Artificial intelligence methods applied to longitudinal data from electronic health records for prediction of cancer: a scoping review,(authors not fully confirmed),2025,BMC Medical Research Methodology,10.1186/s12874-025-02473-w,,,Scoping review of AI methods for cancer prediction using longitudinal EHR data,N/A (review),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A (review),N/A,N/A,N/A,N/A,UNKNOWN - content not detailed beyond title/venue in retrieved snippets,Content not verified beyond existence this session,N/A,Directly on-topic (longitudinal EHR + cancer prediction methods) title; flagged as priority full-text read if WebFetch access is restored,4,3,3,HIGH PRIORITY FOLLOW-UP: title/venue confirmed but abstract content not retrieved by search snippets - read in full before finalizing methodology choices for longitudinal modeling (project Section 20).
P0024,A Deep Learning-Enabled Workflow to Estimate Real-World Progression-Free Survival in Patients With Metastatic Breast Cancer: Study Using Deidentified Electronic Health Records,(authors not fully confirmed),2025,JMIR Cancer,,https://pubmed.ncbi.nlm.nih.gov/40202866/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12097284/,Derive real-world progression-free survival (rwPFS) endpoint from deidentified EHR notes via NLP,"Nference nSights platform, deidentified commercial EHR",Nference (commercial real-world data platform),"316 (HR+/HER2- metastatic breast cancer on palbociclib+letrozole, 2015-2021)",UNKNOWN progression count,UNKNOWN,Yes (free-text notes/radiology reports),UNKNOWN,UNKNOWN,Yes (palbociclib+letrozole),Yes,Yes,"Real-world progression-free survival (rwPFS), derived from NLP-extracted progression events","N/A - this derives an outcome metric, not a forward prediction",N/A,General-purpose healthcare NLP transforming free text into structured progression events,Clinician-confirmed progression (gold standard benchmark),Benchmarked against clinician-confirmed progression,No,Patient-level progression captured within +/-30 days at 88% accuracy; cohort median rwPFS 20 months (95% CI 18.0-25.0),NLP-derived rwPFS endpoint closely matches clinician-confirmed progression timing,"Single treatment regimen cohort (palbociclib+letrozole); commercial platform, methodology/data access not independently reproducible","N/A (endpoint-derivation tool, not a predictive model)",Excellent example of real-world EHR + NLP infrastructure for label/endpoint generation - a prerequisite for any true prediction study,4,3,2,"IMPORTANT CLASSIFICATION NOTE: this derives an outcome metric (rwPFS) from notes, NOT a predictive model of future risk - illustrates the detection/extraction vs prediction distinction the project brief specifically warns about (Section 9)."
P0025,Development and Validation of a Multimodal-Multitask Deep Learning Approach for Estimating Late Distant Recurrence Risk in HR-Positive Early Breast Cancer,(Caris Life Sciences / NSABP Foundation / NRG Oncology / ECOG-ACRIN),2026,Cancer Research Communications,10.1158/2767-9764.CRC-26-0362,https://pubmed.ncbi.nlm.nih.gov/42467849/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13425195/,Estimate late (post-5-year) distant recurrence risk in HR+ early breast cancer using pathology images + clinicopathologic data,"NSABP B-42 trial cohort (development) + TAILORx trial cohort (external validation) - CLINICAL TRIAL populations, not routine-care EHR",NSABP Foundation / NRG Oncology / ECOG-ACRIN clinical trials,"2271 (NSABP B-42 development) + 4300 (TAILORx external validation, disease-free at 5 years)",UNKNOWN exact recurrence counts,Yes (clinicopathologic),No (digitized H&E pathology images instead),Yes (digitized whole-slide H&E images),UNKNOWN,Yes (extended letrozole arm),Yes,Trial follow-up (multi-year),Late (>5yr) distant recurrence risk,10-year absolute distant-recurrence risk,5-year disease-free landmark,Multimodal-multitask deep learning (pathology images + clinicopathologic fusion),UNKNOWN,5-fold CV in development; independent external cohort (different trial),Yes - genuine cross-trial external validation,10-year absolute distant-recurrence risk difference of 7.95% between high/low-risk groups (B-42); external validation in TAILORx 'confirmed prognostic performance' (exact external C-index not retrieved),"High-risk patients showed larger absolute benefit from extended letrozole (4.09% vs 0.49%) - a treatment-selection signal, not just prognosis","BOTH cohorts are clinical-trial populations (curated, not representative of general practice) - NOT routine-care EHR data, an important caveat for generalization to real-world EHR settings",Low - landmark design at 5-year disease-free point is methodologically sound,"Rare, valuable cross-trial external validation design; but trial-cohort generalization does not guarantee real-world EHR generalization",4,4,2,"Methodologically excellent (real external validation, treatment-selection utility) but IMPORTANT CAVEAT: trial data, not real-world EHR - flag this distinction explicitly since our project's premise is specifically real-world EHR data."
P0026,Development and external validation of multiple machine learning-based models for breast cancer-specific survival prediction in postoperative patients with invasive breast cancer: a study based on the SEER database and an external cohort,(authors not fully confirmed),2026,BMC Cancer,10.1186/s12885-026-16166-0,https://pubmed.ncbi.nlm.nih.gov/42218459/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13520318/,Predict 3/5/7/10-year breast-cancer-specific survival,"SEER 2010-2020 (development) + Guangxi Medical University Cancer Hospital cohort, China (external validation)","SEER (US registry, NOT full EHR - no notes/labs) + Chinese hospital cohort",UNKNOWN exact N,UNKNOWN,"Yes (registry fields: demographics, stage, receptor status)",No,Yes (registry-level),No,No (registry-level treatment flags only),Limited (surgery/radiation flags),Survival follow-up only,Breast-cancer-specific survival at 3/5/7/10 years,3/5/7/10 years,At diagnosis,"Random Survival Forest, Survival-GBM, Survival-XGBoost, LASSO-Cox",Head-to-head comparison among these 4,Internal validation split + genuinely independent external cohort (different country),Yes - cross-country (US SEER-trained model tested on Chinese cohort),RSF C-index 0.824 (train) vs 0.689 (internal validation) - large drop suggesting overfitting; external-cohort C-index not captured in retrieved snippet,Steep train-to-validation performance drop raises overfitting concerns even before the external test,SEER is registry data only (no labs/meds/notes) - lower relevance to 'real-world longitudinal EHR' specifically than EHR-native studies,Moderate concern given the large train/validation C-index gap,"Useful external-validation methodology template, but registry-only data limits applicability to a true longitudinal EHR study",3,2,4,"SEER-based, so structurally cannot support recurrence prediction (see DATASETS/seer.md) - relevant mainly for the survival-only sub-target and external-validation methodology, and as a cautionary overfitting example."
P0027,Comparison of Random Survival Forest Based-Overall Survival With Deep Learning and Cox Proportional Hazard Models in HER2-Positive HR-Negative Breast Cancer,(authors not fully confirmed),2025,(journal not fully confirmed),,https://pubmed.ncbi.nlm.nih.gov/40624807/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12234386/,"Compare RSF, DeepSurv, and CoxPH for overall survival prediction in a specific molecular subtype",SEER registry,SEER (US registry),8119 (HER2+/HR- subgroup),UNKNOWN,Yes (registry fields),No,Yes (registry-level),No,No,Limited,Survival follow-up only,Overall survival,1/3/5 year OS,At diagnosis,"CoxPH, Random Survival Forest, DeepSurv",Head-to-head comparison,Train/test split,No,DeepSurv train C-index >0.8 but CoxPH outperformed DeepSurv on held-out TEST set; RSF AUC 0.876/0.861/0.845 for 1/3/5-year OS in test group,IMPORTANT NEGATIVE RESULT: classical Cox proportional hazards outperformed a deep survival model (DeepSurv) on held-out data in this subgroup,"SEER-only (registry, not EHR); single molecular subtype (HER2+/HR-)",Low (standard survival design),"Directly supports project brief's principle 'prefer simple models when sufficient, do not use deep learning merely because it sounds impressive' (Section 1)",3,2,4,"KEY CAUTIONARY/NEGATIVE-RESULT PAPER: deep survival models do not automatically beat Cox - directly relevant evidence for our program's model-selection philosophy (baselines-first, simplest-sufficient-model)."
P0028,Machine Learning to Predict Tamoxifen Nonadherence Among US Commercially Insured Patients With Metastatic Breast Cancer,"Yerrapragada, et al.",2021,JCO Clinical Cancer Informatics,10.1200/CCI.20.00102,https://pubmed.ncbi.nlm.nih.gov/34383580/,,Predict tamoxifen medication nonadherence from claims data,"IBM MarketScan Commercial Claims + Medicare claims, 2012-2017",IBM MarketScan / Medicare claims (US),3022,UNKNOWN exact nonadherence count,Yes (claims only),No,No,No,Yes (tamoxifen fills),Limited,Yes (claims over time),Nonadherence (proportion-of-days-covered <80% in year 1),1 year,Treatment initiation,Logistic regression (best model),Other unspecified ML models compared,UNKNOWN split method,No,"AUC 0.64 (best model, logistic regression)","Modest, honestly-reported result for claims-based behavioral prediction - not hyped",Claims-based (not clinical EHR); adherence not a clinical outcome,Low,Adjacent/tangential; useful calibration point for realistic claims-based prediction performance,2,2,3,Tangential to core research question but useful as a sobering benchmark (AUC 0.64) for what claims-only behavioral prediction realistically achieves - avoid over-promising performance in our own proposal.
P0029,Transforming unstructured breast cancer pathology reports into the Observational Medical Outcomes Partnership Common Data Model,(authors not fully confirmed),2025/2026,(journal not fully confirmed),,https://pubmed.ncbi.nlm.nih.gov/41764468/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13059417/,Rule-based NLP pipeline mapping breast pathology report fields into OMOP CDM standard vocabularies,UNKNOWN institution pathology reports,UNKNOWN,UNKNOWN,N/A (infrastructure paper),Output is structured (OMOP-mapped),Input is unstructured pathology reports,Yes,No,No,No,UNKNOWN,"N/A (data-infrastructure paper, not a prediction study)",N/A,N/A,Rule-based NLP pipeline,N/A,UNKNOWN,UNKNOWN,N and performance metrics not retrieved from snippets,Demonstrates feasibility of structuring real-world breast pathology data into a federated multi-site-ready (OMOP) format,"Infrastructure paper, not a prediction study",N/A,"OMOP-based breast-cancer OUTCOME PREDICTION studies (as opposed to infrastructure/mapping papers) do not appear well represented in current literature - this looks like a genuine gap, not just a search failure",3,3,3,Confirms OMOP+breast-cancer infrastructure work exists but true OMOP-based prediction studies are scarce - relevant if All of Us / OMOP is pursued as the eventual dataset.
P0030,Validation of a deep learning-based AI model for breast cancer risk stratification in postmenopausal ER+/HER2- breast cancer patients (Stratipath),(authors not fully confirmed),2025/2026,(journal not fully confirmed),,https://pubmed.ncbi.nlm.nih.gov/41380230/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12756034/,Validate an AI (Stratipath) risk-stratification model against existing Nottingham Histologic Grade system,"Real clinical cohort, postmenopausal ER+/HER2- patients not receiving chemotherapy",UNKNOWN institution,2466,UNKNOWN,UNKNOWN,UNKNOWN (likely pathology images given 'Stratipath' branding),"Yes (image-based, inferred)",UNKNOWN,No (chemo-naive cohort),UNKNOWN,UNKNOWN,Risk stratification category,UNKNOWN,UNKNOWN,"Deep learning AI model (Stratipath, commercial)",Nottingham Histologic Grade (NHG) system,Real validation cohort,UNKNOWN,Performed 'similarly' to NHG (non-superiority-flavored result),"AI risk stratification performs comparably to, but not clearly better than, an existing simple grading system",Authors call for further prospective validation,UNKNOWN,Honest negative/neutral finding: not every AI model beats the simple existing clinical tool,3,2,2,Useful negative/neutral result reinforcing the project brief's caution against assuming AI/deep learning automatically outperforms simpler existing clinical tools (Section 1).
P0031,Using natural language processing to construct a metastatic breast cancer cohort from linked cancer registry and electronic medical records data,"Ling AY, Kurian AW, Caswell-Jin JL, et al.",2019,JAMIA Open,,,,Semi-supervised NLP + linked cancer registry + EMR to identify recurrent metastatic breast cancer cases,Linked California Cancer Registry + Stanford EMR (per prior literature; not independently re-confirmed this session),Stanford / California Cancer Registry linkage,UNKNOWN,UNKNOWN,Yes (registry linkage),"Yes (EMR notes, semi-supervised NLP)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Recurrent metastatic breast cancer case identification,N/A - cohort construction/detection,N/A,Semi-supervised NLP,NLP-derived features alone vs NLP+registry combined,UNKNOWN,No,NLP-derived features alone were as informative as NLP+registry combined for identifying recurrent metastatic cases,NLP alone matches NLP+registry performance for cohort identification,UNKNOWN,N/A (cohort-construction task),Useful precedent for registry-linked EHR cohort building methodology,3,2,3,"CLASSIFICATION: DETECTION/cohort-construction, not prediction. Same Stanford Kurian/Caswell-Jin lineage as P0003/P0005/P0009."
P0032,Universal Abstraction: Harnessing Frontier Models to Structure Real-World Data at Scale (UniMedAbstractor/UMA),(Microsoft Research),"2025 (preprint - UNPUBLISHED, not peer-reviewed)",arXiv,,,arXiv:2502.00943,Zero-shot LLM abstraction framework (GPT-4o) to structure real-world oncology data at scale,Providence Health System (large integrated delivery network) real-world EHR,Providence Health System,UNKNOWN (described as 'at scale'),UNKNOWN,Output is structured,Input includes unstructured EHR notes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"N/A (extraction/abstraction framework, not an outcome predictor)",N/A,N/A,Zero-shot GPT-4o based abstraction (UMA framework),Conventional (non-LLM) abstraction baselines,UNKNOWN,UNKNOWN,UMA+GPT-4o beat conventional baselines by ~2 absolute points in F1/accuracy,LLM zero-shot abstraction modestly outperforms conventional baselines at large real-world health-system scale,"UNPUBLISHED preprint - not peer reviewed, treat as provisional",N/A (extraction task),Large real-world health system directly relevant to 'LLM extracting structured variables from oncology notes',4,4,3,CAUTION: unreviewed arXiv preprint. Should not be cited as validated evidence until peer-reviewed. Include for awareness of the LLM-extraction frontier only.
